statename,rank,countryd,val2015,val2016,val2017,val2018,share15,share16,share17,share18,change
Arkansas,7,United Kingdom,169.63,142.82,249.74,205.58,2.8894,2.496,4.0059,3.1791,-17.68
Arkansas,8,Belgium,133.57,125.98,90.88,195.7,2.2751,2.2018,1.4577,3.0264,115.34
Arkansas,9,Hong Kong,100.49,112.57,122.16,179.19,1.7117,1.9674,1.9594,2.7711,46.69
Arkansas,10,Japan,531.55,280.68,192.29,167.55,9.0539,4.9055,3.0843,2.591,-12.87
Arkansas,11,Switzerland,6.05,71.15,160.48,125.23,0.1031,1.2435,2.5741,1.9366,-21.96
Arkansas,12,Germany,102.63,77.28,89.77,123.47,1.7481,1.3506,1.4399,1.9094,37.55
Arkansas,13,Haiti,44.5,50.79,118.05,123.27,0.758,0.8878,1.8935,1.9063,4.43
Arkansas,14,Taiwan,77.93,70.16,68.46,116.44,1.3275,1.2262,1.0981,1.8007,70.08
Arkansas,15,Singapore,251.45,184.35,130.42,109.76,4.283,3.222,2.092,1.6974,-15.85
Arkansas,16,Australia,89.28,144.77,79.9,106.08,1.5208,2.5302,1.2816,1.6405,32.77
Arkansas,17,Netherlands,118.7,99.61,137.39,103.61,2.0219,1.741,2.2037,1.6022,-24.59
Arkansas,18,British Virgin Islands,0.05,47.73,35.56,85.73,0.0008,0.8341,0.5704,1.3258,141.11
Arkansas,19,Brazil,132.82,59.96,116.57,78.34,2.2624,1.048,1.8698,1.2116,-32.79
Arkansas,20,Colombia,71.44,62.59,63.26,70.05,1.2169,1.0939,1.0147,1.0833,10.74
Arkansas,21,Guatemala,67.65,71.65,73.54,70,1.1524,1.2523,1.1795,1.0825,-4.8
Arkansas,22,Austria,13.97,11.25,13.47,63.47,0.238,0.1967,0.2161,0.9815,371.05
Arkansas,23,Bermuda,42.4,2.5,120.25,61.48,0.7222,0.0437,1.9288,0.9507,-48.88
Arkansas,24,Monaco,0,0,0,60.06,0,0,0,0.9287,0
Arkansas,25,Cayman Islands,0.14,0.27,0.45,60.03,0.0024,0.0048,0.0072,0.9284,13198.76
California,0,World,165360.38,163438.92,172012.42,178404.77,10.9996,11.2637,11.1243,10.7209,3.72
California,0,Top 25,146633.22,145010.96,153536.91,159465.24,88.6749,88.7249,89.2592,89.384,3.86
California,1,Mexico,26787.59,25260.27,26771.8,30738.73,16.1995,15.4555,15.5639,17.2298,14.82
California,2,Canada,17262.18,16232.79,16842.02,17750.23,10.4391,9.932,9.7912,9.9494,5.39
California,3,China,14384.35,14322.97,16433.1,16345.09,8.6988,8.7635,9.5534,9.1618,-0.54
California,4,Japan,11743.01,11765.13,12830.45,13099.54,7.1015,7.1985,7.459,7.3426,2.1
California,5,"Korea, South",8683.48,8210.24,9601.9,9942.21,5.2512,5.0234,5.5821,5.5728,3.54
California,6,Hong Kong,8761.23,9661.92,12108.99,9905.79,5.2983,5.9116,7.0396,5.5524,-18.19
California,7,Taiwan,7727.41,6983.14,6313.26,6824.24,4.6731,4.2726,3.6702,3.8251,8.09
California,8,Germany,5344.33,5351.07,6003.28,6594.37,3.2319,3.274,3.49,3.6963,9.85
California,9,Netherlands,5634.23,5458.36,5785.3,6433.77,3.4072,3.3397,3.3633,3.6063,11.21
California,10,India,4568.4,5129.31,5014.21,6117.42,2.7627,3.1384,2.915,3.429,22
California,11,United Kingdom,5150.06,5424.12,5030.38,5240.55,3.1144,3.3187,2.9244,2.9374,4.18
California,12,Singapore,3925.92,3889.33,4261.24,4435.31,2.3742,2.3797,2.4773,2.4861,4.08
California,13,Australia,3436.01,3369.44,3527.57,3526.85,2.0779,2.0616,2.0508,1.9769,-0.02
California,14,France,2683.96,2985.23,3706.95,3327.14,1.6231,1.8265,2.155,1.8649,-10.25
California,15,Belgium,2940.9,2955.77,3184.24,2814.65,1.7785,1.8085,1.8512,1.5777,-11.61
California,16,Malaysia,1824.14,1830.66,2085.05,2179.28,1.1031,1.1201,1.2122,1.2215,4.52
California,17,Switzerland,2008.05,2031.31,1988.19,2077.65,1.2143,1.2429,1.1558,1.1646,4.5
California,18,Israel,1790.5,2034.3,1968.04,1739.57,1.0828,1.2447,1.1441,0.9751,-11.61
California,19,Italy,2011.69,1993.89,1647.52,1643.16,1.2165,1.22,0.9578,0.921,-0.26
California,20,Vietnam,1247.2,2570.97,1383.61,1608.43,0.7542,1.573,0.8044,0.9016,16.25
California,21,Thailand,1692.69,1492.31,1421.01,1526.72,1.0236,0.9131,0.8261,0.8558,7.44
California,22,United Arab Emirates,2425.22,1522.06,1515.99,1478.74,1.4666,0.9313,0.8813,0.8289,-2.46
California,23,Spain,1675.29,1517.27,1403.99,1408.8,1.0131,0.9283,0.8162,0.7897,0.34
California,24,Brazil,1547.63,1641.43,1425.58,1380.97,0.9359,1.0043,0.8288,0.7741,-3.13
California,25,Philippines,1377.75,1377.66,1283.22,1326.02,0.8332,0.8429,0.746,0.7433,3.34
Colorado,0,World,7949.65,7580.72,8054.12,8317.25,0.5288,0.5224,0.5209,0.4998,3.27
Colorado,0,Top 25,6967.4,6749.28,7231.69,7511.98,87.6441,89.0322,89.7887,90.318,3.88
Colorado,1,Canada,1408.4,1356.73,1390.32,1434.85,17.7166,17.8972,17.2623,17.2515,3.2
Colorado,2,Mexico,1077.44,1069.51,1315.87,1252.82,13.5533,14.1082,16.3379,15.0629,-4.79
Colorado,3,China,658.76,589.46,585.83,577.55,8.2867,7.7758,7.2736,6.944,-1.41
Colorado,4,"Korea, South",332.78,400.02,388.98,493.62,4.1861,5.2768,4.8295,5.9349,26.9
Colorado,5,Japan,466.53,444.11,445.03,452.87,5.8686,5.8584,5.5255,5.4449,1.76
Colorado,6,Malaysia,356.02,366.65,417.28,391.94,4.4784,4.8366,5.181,4.7123,-6.07
Colorado,7,Netherlands,290.08,228.37,275.77,304.8,3.6489,3.0126,3.424,3.6647,10.53
Colorado,8,Germany,261.65,326.31,313.71,301.25,3.2913,4.3045,3.895,3.622,-3.97
Colorado,9,Hong Kong,237.98,207.05,233.73,243.2,2.9936,2.7313,2.902,2.924,4.05
Colorado,10,Taiwan,205.85,205.39,208.33,222.74,2.5894,2.7094,2.5866,2.6781,6.92
Colorado,11,United Kingdom,261.42,219.85,220.18,220.53,3.2884,2.9002,2.7337,2.6514,0.16
Colorado,12,Philippines,162.26,142.56,212.45,194.46,2.0411,1.8805,2.6378,2.338,-8.47
Colorado,13,Switzerland,249.98,230.35,171.01,191.05,3.1445,3.0386,2.1232,2.2971,11.72
Colorado,14,France,133.29,139.4,127.56,182.06,1.6767,1.8389,1.5838,2.189,42.72
Colorado,15,Belgium,161.82,125.76,142.92,153.02,2.0355,1.6589,1.7745,1.8398,7.06
Colorado,16,Australia,155.2,142.84,168.59,146.37,1.9523,1.8842,2.0932,1.7599,-13.18
Colorado,17,Brazil,98.35,102.55,120.18,141.96,1.2372,1.3528,1.4922,1.7068,18.12
Colorado,18,Thailand,62.76,68.41,64.89,96.9,0.7894,0.9024,0.8056,1.1651,49.34
Colorado,19,Italy,83.21,70.35,84.53,95.46,1.0467,0.928,1.0496,1.1477,12.92
Colorado,20,Singapore,71.02,80.12,88.04,88.62,0.8934,1.0568,1.0931,1.0655,0.66
Colorado,21,India,92.58,82.06,83.39,85.78,1.1645,1.0825,1.0354,1.0313,2.86
Colorado,22,Chile,58.37,44.17,33.04,69.1,0.7343,0.5827,0.4103,0.8308,109.11
Colorado,23,Indonesia,35.45,50.43,69.88,65.5,0.446,0.6653,0.8677,0.7875,-6.28
Colorado,24,New Zealand,19.24,27.2,24.71,53.76,0.242,0.3588,0.3067,0.6464,117.6
Colorado,25,Vietnam,26.96,29.63,45.47,51.78,0.3392,0.3909,0.5646,0.6226,13.87
Connecticut,0,World,15241.76,14393.83,14783.75,17399.91,1.0139,0.992,0.9561,1.0456,17.7
Connecticut,0,Top 25,13701.18,12990.16,13349.26,15865.44,89.8924,90.2482,90.2969,91.1812,18.85
Connecticut,1,France,1942.95,1954.57,2114.07,3178.22,12.7475,13.5792,14.2999,18.2657,50.34
Connecticut,2,Germany,1654.17,1641.65,1824.69,2332.01,10.8529,11.4053,12.3425,13.4024,27.8
Connecticut,3,Canada,1623.05,1634.82,1906.95,1952.28,10.6487,11.3578,12.899,11.2201,2.38
Connecticut,4,United Kingdom,885.38,893.2,1300.06,1485.64,5.8089,6.2055,8.7938,8.5382,14.27
Connecticut,5,Mexico,1318.75,1061.14,1036.23,948.48,8.6522,7.3722,7.0093,5.4511,-8.47
Connecticut,6,China,1028.88,798.27,795.1,943.67,6.7504,5.5459,5.3782,5.4234,18.69
