statename,rank,countryd,val2015,val2016,val2017,val2018,share15,share16,share17,share18,change
Arkansas,23,Brazil,53.45,52.88,56.74,50.07,0.6755,0.6755,0.6105,0.4345,-11.75
Arkansas,24,Norway,20.67,16.03,33.16,46.66,0.2613,0.2048,0.3567,0.4049,40.73
Arkansas,25,Jordan,10.05,14.3,8.92,44.37,0.127,0.1826,0.096,0.385,397.32
California,0,World,408337.16,410172.8,440576.22,441166.09,18.1579,18.7499,18.8123,17.3497,0.13
California,0,Top 25,381877.85,383333.06,409125.94,408585.62,93.5202,93.4565,92.8616,92.6149,-0.13
California,1,China,143635.67,144023.33,159142.19,161186.71,35.1758,35.1128,36.1214,36.5365,1.28
California,2,Mexico,45086.46,46345.06,46392.71,44053.81,11.0415,11.2989,10.53,9.9858,-5.04
California,3,Japan,38499.11,41327.12,40480.04,33633.15,9.4283,10.0755,9.188,7.6237,-16.91
California,4,Canada,27865.38,27784.25,28690.23,27098.03,6.8241,6.7738,6.512,6.1424,-5.55
California,5,"Korea, South",15393.1,14020.9,15787.73,16639.98,3.7697,3.4183,3.5834,3.7718,5.4
California,6,Malaysia,16816.53,16471.84,16387.54,14801.3,4.1183,4.0158,3.7196,3.355,-9.68
California,7,Taiwan,12526.53,12327.03,13401.31,14487.28,3.0677,3.0053,3.0418,3.2839,8.1
California,8,Vietnam,8833.96,10924.68,12459.45,13581.49,2.1634,2.6634,2.828,3.0785,9.01
California,9,Germany,12706.73,11204.48,11501.91,12411.64,3.1118,2.7316,2.6107,2.8134,7.91
California,10,Thailand,10046.44,10077.78,10361.17,10300.64,2.4603,2.457,2.3517,2.3349,-0.58
California,11,Saudi Arabia,6160.84,4251.41,5307.65,9071.37,1.5088,1.0365,1.2047,2.0562,70.91
California,12,United Kingdom,4564.58,5502.05,5555.16,5493.46,1.1178,1.3414,1.2609,1.2452,-1.11
California,13,Indonesia,4687.63,4678.51,4772.8,4872.29,1.148,1.1406,1.0833,1.1044,2.08
California,14,Philippines,3305.71,3410.49,4253.56,4714.49,0.8096,0.8315,0.9655,1.0686,10.84
California,15,Singapore,4185.03,4185.71,4691.22,4483.1,1.0249,1.0205,1.0648,1.0162,-4.44
California,16,Italy,3666.15,4011.67,4290.67,4379.1,0.8978,0.978,0.9739,0.9926,2.06
California,17,India,3850.85,3632.63,3948.78,4022.18,0.9431,0.8856,0.8963,0.9117,1.86
California,18,Ecuador,3733.81,3504.69,4050.05,3992.84,0.9144,0.8544,0.9193,0.9051,-1.41
California,19,France,3637.49,3870.99,3695.49,3604.64,0.8908,0.9437,0.8388,0.8171,-2.46
California,20,Brazil,2120.72,1519.79,2065.74,3480.13,0.5194,0.3705,0.4689,0.7888,68.47
California,21,Colombia,2607.62,2144.16,3037.36,3404.51,0.6386,0.5227,0.6894,0.7717,12.09
California,22,Switzerland,2476.07,2708.03,2860.18,2680.83,0.6064,0.6602,0.6492,0.6077,-6.27
California,23,Ireland,2384.05,2152.57,2245.74,2286.17,0.5838,0.5248,0.5097,0.5182,1.8
California,24,Australia,1875.77,1814.74,2220.17,1999.55,0.4594,0.4424,0.5039,0.4532,-9.94
California,25,Netherlands,1211.63,1439.16,1527.09,1906.96,0.2967,0.3509,0.3466,0.4323,24.88
Colorado,0,World,13507.25,12223.24,12953.98,13526.21,0.6006,0.5588,0.5531,0.5319,4.42
Colorado,0,Top 25,12852.45,11539.3,12395.35,12898.59,95.1522,94.4046,95.6876,95.36,4.06
Colorado,1,Canada,3210.54,2764.77,3636.87,3927.88,23.769,22.619,28.0753,29.0391,8
Colorado,2,China,2426.61,2259.85,2168.21,2007.47,17.9652,18.4882,16.7378,14.8414,-7.41
Colorado,3,Mexico,1719.25,1572.81,1571.03,1529.23,12.7283,12.8673,12.1278,11.3057,-2.66
Colorado,4,Switzerland,702.01,652.02,724.19,811.73,5.1973,5.3342,5.5905,6.0011,12.09
Colorado,5,Germany,1083.91,699.36,661.68,633.09,8.0247,5.7215,5.1079,4.6805,-4.32
Colorado,6,Taiwan,218.15,415.33,416.1,589.5,1.6151,3.3979,3.2121,4.3582,41.67
Colorado,7,"Korea, South",332.98,417.09,409.2,555.37,2.4652,3.4123,3.1588,4.1059,35.72
Colorado,8,Australia,558.21,406,311.35,308.38,4.1326,3.3215,2.4035,2.2798,-0.95
Colorado,9,Italy,244.78,224.69,236.74,250.25,1.8122,1.8382,1.8276,1.8501,5.7
Colorado,10,France,300.26,232.9,222.91,244.54,2.2229,1.9054,1.7208,1.8079,9.7
Colorado,11,Denmark,181.6,152.77,262.61,227.5,1.3445,1.2498,2.0273,1.6819,-13.37
Colorado,12,India,214.31,209.3,171.64,214.28,1.5866,1.7123,1.325,1.5842,24.84
Colorado,13,United Kingdom,260.46,215.89,203.06,209,1.9283,1.7662,1.5675,1.5451,2.93
Colorado,14,Malaysia,100.74,160.16,176.77,194.5,0.7458,1.3103,1.3646,1.4379,10.03
Colorado,15,Vietnam,197.13,145.84,166.71,179.94,1.4595,1.1932,1.2869,1.3303,7.94
Colorado,16,Sweden,89.78,117.19,155.89,177.68,0.6647,0.9587,1.2034,1.3136,13.98
Colorado,17,Thailand,79.83,121.89,133.4,145.27,0.591,0.9972,1.0298,1.074,8.9
Colorado,18,Japan,153.89,185.75,130.89,144.33,1.1393,1.5196,1.0104,1.0671,10.27
Colorado,19,Austria,168.53,108.96,99.17,118.57,1.2477,0.8914,0.7655,0.8766,19.57
Colorado,20,Spain,146.5,109.54,229.62,91.17,1.0846,0.8962,1.7726,0.674,-60.29
Colorado,21,Philippines,56.32,80.07,86.5,86.86,0.4169,0.6551,0.6677,0.6422,0.42
Colorado,22,Netherlands,198.74,101.12,58.78,75.48,1.4713,0.8272,0.4537,0.558,28.42
Colorado,23,Slovenia,129.98,110.5,61.42,66.85,0.9623,0.904,0.4741,0.4943,8.85
Colorado,24,Israel,37.92,47.21,66.09,56.91,0.2807,0.3862,0.5102,0.4207,-13.89
Colorado,25,Brazil,40.03,28.29,34.56,52.79,0.2963,0.2315,0.2668,0.3903,52.74
Connecticut,0,World,25977.89,21342.23,18673.75,19874.43,1.1552,0.9756,0.7974,0.7816,6.43
Connecticut,0,Top 25,23740.69,19232.33,16392.14,17973.64,91.3881,90.114,87.7817,90.436,9.65
Connecticut,1,Canada,3454.27,2901.88,2874.11,3586.53,13.297,13.5969,15.3912,18.0459,24.79
Connecticut,2,Mexico,2479.57,2493.21,2507.62,2503.16,9.5449,11.682,13.4286,12.5949,-0.18
Connecticut,3,China,3031.16,2306.65,2235.75,2301.35,11.6682,10.8079,11.9727,11.5795,2.93
Connecticut,4,Germany,1936.53,1446.39,1342.3,1466.1,7.4545,6.7771,7.1881,7.3768,9.22
Connecticut,5,United Kingdom,5550.92,2548.7,1083.84,1176.16,21.3679,11.942,5.8041,5.9179,8.52
Connecticut,6,France,661.38,641.71,709.55,727.14,2.5459,3.0068,3.7997,3.6587,2.48
Connecticut,7,Ireland,260.02,1152.69,636.09,654.75,1.0009,5.401,3.4064,3.2944,2.93
Connecticut,8,Italy,538.27,565.9,526.2,619.18,2.072,2.6515,2.8179,3.1154,17.67
Connecticut,9,Netherlands,482.73,458.73,441.11,601.85,1.8582,2.1494,2.3622,3.0283,36.44
Connecticut,10,Singapore,541.86,489.62,414.27,501.28,2.0858,2.2941,2.2185,2.5222,21
Connecticut,11,Switzerland,436.64,399.53,358.18,451.63,1.6808,1.872,1.9181,2.2724,26.09
Connecticut,12,Japan,945.39,846.13,410.05,422.87,3.6392,3.9646,2.1958,2.1277,3.13
Connecticut,13,Russia,234.25,381.5,489.62,414.43,0.9017,1.7875,2.622,2.0852,-15.36
Connecticut,14,Poland,585.41,541.2,239.37,257.28,2.2535,2.5358,1.2818,1.2945,7.48
Connecticut,15,Belgium,251.42,212.66,124.35,255.73,0.9678,0.9964,0.6659,1.2867,105.65
Connecticut,16,Brazil,246.59,286.55,282.2,254.92,0.9492,1.3427,1.5112,1.2827,-9.66
Connecticut,17,Chile,369.22,56.47,132.62,244.22,1.4213,0.2646,0.7102,1.2288,84.16
Connecticut,18,Sweden,183.14,153.78,150.67,231.22,0.705,0.7206,0.8068,1.1634,53.46
Connecticut,19,India,269.8,245.57,279.42,217.65,1.0386,1.1506,1.4963,1.0951,-22.11
Connecticut,20,Taiwan,319.83,233.23,227.48,212.26,1.2312,1.0928,1.2182,1.068,-6.69
Connecticut,21,"Korea, South",250.78,213.19,183.81,205.69,0.9654,0.9989,0.9843,1.035,11.91
Connecticut,22,Vietnam,174.53,191.8,223.75,184.72,0.6718,0.8987,1.1982,0.9294,-17.45
Connecticut,23,Norway,123.11,68.35,150.31,173.96,0.4739,0.3203,0.8049,0.8753,15.74
Connecticut,24,Spain,155.05,150.19,228.67,159.17,0.5969,0.7037,1.2245,0.8009,-30.39
Connecticut,25,Israel,258.83,246.72,140.83,150.41,0.9964,1.156,0.7541,0.7568,6.8
Delaware,0,World,9246.1,7555.15,7669.38,8890.05,0.4112,0.3454,0.3275,0.3496,15.92
Delaware,0,Top 25,6937.08,6133.05,6528.78,7902.92,75.0271,81.1771,85.1278,88.8963,21.05
Delaware,1,Canada,780.07,436.06,867.74,1338.74,8.4368,5.7718,11.3144,15.0588,54.28
Delaware,2,United Kingdom,979.6,1326.65,758.33,808.93,10.5948,17.5596,9.8877,9.0993,6.67
Delaware,3,France,1106.14,788.9,806.1,589.69,11.9633,10.4419,10.5106,6.6331,-26.85
Delaware,4,Iraq,18.06,136.1,472.98,541.07,0.1953,1.8014,6.1671,6.0862,14.4
Delaware,5,Switzerland,164.9,129.89,283.08,536.24,1.7834,1.7192,3.6911,6.0319,89.43
Delaware,6,Colombia,970.94,796.94,516.71,472.48,10.5011,10.5483,6.7373,5.3147,-8.56
Delaware,7,China,382.4,381.67,410.05,452.12,4.1358,5.0518,5.3466,5.0857,10.26
Delaware,8,Russia,188.29,163.9,122.87,379.69,2.0364,2.1694,1.602,4.2709,209.03
Delaware,9,Mexico,554.69,263.89,182.66,316.78,5.9991,3.4928,2.3817,3.5633,73.42
Delaware,10,Kazakhstan,0.39,0,35.25,294.25,0.0042,0,0.4597,3.3099,734.69
Delaware,11,Nigeria,82.41,111.67,262.42,265.22,0.8913,1.478,3.4216,2.9833,1.07
Delaware,12,Germany,341.03,242.44,412.09,217.02,3.6884,3.2089,5.3732,2.4411,-47.34
Delaware,13,Costa Rica,235.21,277.76,234.47,214.72,2.5439,3.6765,3.0572,2.4153,-8.42
Delaware,14,Netherlands,146.88,148.29,156.73,172.69,1.5886,1.9628,2.0435,1.9426,10.19
Delaware,15,Algeria,48.19,20.25,2.7,172.68,0.5212,0.268,0.0352,1.9423,6298.47
Delaware,16,Chile,180.07,193.74,139.87,171.67,1.9476,2.5644,1.8237,1.931,22.73
Delaware,17,Sweden,242.92,179.69,146.03,146.95,2.6273,2.3784,1.9041,1.653,0.63
Delaware,18,Saudi Arabia,19.43,8.93,39.42,143.57,0.2101,0.1182,0.514,1.615,264.21
Delaware,19,Austria,68.38,30.97,98.22,140.21,0.7396,0.4099,1.2806,1.5771,42.75
Delaware,20,Spain,96.1,124.5,184.42,110.37,1.0393,1.6479,2.4047,1.2415,-40.15
Delaware,21,Japan,100.35,98.27,86.5,98.03,1.0853,1.3007,1.1278,1.1027,13.34
Delaware,22,Norway,20.13,30.42,86.68,95.06,0.2177,0.4026,1.1302,1.0693,9.67
Delaware,23,Italy,82.18,111.99,78.81,84.67,0.8888,1.4823,1.0276,0.9525,7.44
Delaware,24,Taiwan,84.82,93.09,75.28,70.77,0.9174,1.2321,0.9816,0.796,-6
Delaware,25,India,43.48,37.04,69.37,69.31,0.4703,0.4903,0.9045,0.7796,-0.09
District of Columbia,0,World,913.06,486.78,480.52,762.24,0.0406,0.0223,0.0205,0.03,58.63
District of Columbia,0,Top 25,801.26,444.8,419.37,717.51,87.7548,91.3765,87.2748,94.1314,71.09
District of Columbia,1,China,27.32,28.1,44.71,221.48,2.9926,5.7725,9.3043,29.056,395.38
District of Columbia,2,Canada,54.97,68.2,92.68,85.36,6.0203,14.0109,19.2876,11.1984,-7.9
District of Columbia,3,Germany,59.37,35.43,39.56,72.45,6.5028,7.2781,8.2335,9.5054,83.14
District of Columbia,4,United Kingdom,125.32,27.97,25.01,67.95,13.7251,5.7464,5.204,8.9144,171.73
District of Columbia,5,France,47.2,35.57,29.05,47.15,5.1694,7.3073,6.0453,6.1854,62.31
District of Columbia,6,Japan,163.62,32.81,40.28,31.66,17.92,6.7397,8.3825,4.1537,-21.4
District of Columbia,7,Norway,2.36,2.42,12.06,31.35,0.2585,0.4976,2.5092,4.1135,160.05
District of Columbia,8,Argentina,22.25,17.23,27.03,27.72,2.4369,3.5389,5.6254,3.6364,2.54
District of Columbia,9,Italy,33.27,21.23,20.86,15.66,3.6433,4.3607,4.3415,2.0539,-24.96
District of Columbia,10,"Korea, South",14.99,12.35,2.89,14.28,1.6422,2.5366,0.6012,1.8738,394.43
District of Columbia,11,Australia,13.91,14.9,10.77,12.33,1.5234,3.0601,2.2419,1.617,14.42
District of Columbia,12,Netherlands,25.9,15.74,2.46,11.67,2.8365,3.2332,0.5123,1.5304,373.85
District of Columbia,13,Israel,1.04,1.76,4.84,11.62,0.1142,0.3615,1.0079,1.5238,139.82
District of Columbia,14,Taiwan,1.86,1.46,5.31,10.66,0.2042,0.3006,1.1054,1.398,100.62
District of Columbia,15,Denmark,2.51,3.69,10.29,10.07,0.2748,0.7582,2.1419,1.3212,-2.15
District of Columbia,16,Switzerland,5.34,17.49,7.41,7.58,0.5846,3.5931,1.5418,0.9944,2.31
District of Columbia,17,India,140.17,80.74,5.11,5.68,15.3519,16.5868,1.0635,0.745,11.13
District of Columbia,18,Ireland,10.42,5.29,5.19,4.81,1.1415,1.0873,1.0802,0.6315,-7.26
District of Columbia,19,Spain,9.17,6.35,3.2,4.76,1.004,1.3053,0.6653,0.6239,48.77
District of Columbia,20,Kuwait,24.22,0,0.2,4.38,2.6523,0,0.0423,0.5749,2054.21
District of Columbia,21,Vietnam,3.16,3.1,1.58,4.11,0.346,0.6368,0.3294,0.5389,159.55
District of Columbia,22,Mexico,7.05,9.1,22.8,3.98,0.7721,1.8694,4.7443,0.5221,-82.54
District of Columbia,23,Estonia,0.02,0.04,0.29,3.82,0.0021,0.0092,0.0613,0.5011,1195.79
District of Columbia,24,Brazil,3.77,2.31,2.63,3.59,0.4125,0.4755,0.5472,0.4707,36.47
District of Columbia,25,Czech Republic,2.04,1.51,3.15,3.41,0.2235,0.3109,0.6556,0.4474,8.26
Florida,0,World,73483.48,73624.15,75360.19,80612.9,3.2677,3.3655,3.2178,3.1703,6.97
Florida,0,Top 25,59779.78,61240.17,63077.29,67301.23,81.3513,83.1795,83.7011,83.4869,6.7
Florida,1,China,11855.32,11906.23,12594.42,14152.87,16.1333,16.1716,16.7123,17.5566,12.37
Florida,2,Mexico,5563.99,5780.63,6683.71,7538.67,7.5718,7.8515,8.869,9.3517,12.79
Florida,3,Canada,4238,4292.6,4394.87,4834.64,5.7673,5.8304,5.8318,5.9974,10.01
Florida,4,Germany,3991.68,4254.25,3627.23,4314.07,5.4321,5.7783,4.8132,5.3516,18.94
Florida,5,Brazil,3055.92,3274.66,3469.88,4213.02,4.1586,4.4478,4.6044,5.2262,21.42
Florida,6,France,3519.39,3268.59,3517.84,3120.16,4.7894,4.4396,4.668,3.8706,-11.3
Florida,7,Chile,2097.39,1997.12,2619.8,2823.62,2.8542,2.7126,3.4764,3.5027,7.78
Florida,8,Colombia,2311.94,2601.92,2368.36,2301.74,3.1462,3.5341,3.1427,2.8553,-2.81
Florida,9,Japan,3276.29,3553.43,2791.17,2211.42,4.4585,4.8265,3.7038,2.7433,-20.77
Florida,10,Vietnam,2530.01,2502.72,2775.56,2151.72,3.443,3.3993,3.6831,2.6692,-22.48
Florida,11,Italy,1925.77,1952.66,1890.72,2133.62,2.6207,2.6522,2.5089,2.6467,12.85
Florida,12,United Kingdom,2096.67,1911.82,1997.42,2088.85,2.8533,2.5967,2.6505,2.5912,4.58
Florida,13,India,1144.1,1401.17,1182.91,1710.94,1.5569,1.9031,1.5697,2.1224,44.64
Florida,14,Spain,999.15,914.88,1122.08,1409.07,1.3597,1.2426,1.489,1.7479,25.58
Florida,15,Malaysia,355.22,583.86,1080.65,1311.56,0.4834,0.793,1.434,1.627,21.37
Florida,16,Taiwan,1026.73,975.21,1045.62,1276.5,1.3972,1.3246,1.3875,1.5835,22.08
Florida,17,Dominican Republic,1149.67,1157.79,1243.46,1260.02,1.5645,1.5726,1.65,1.563,1.33
Florida,18,Guatemala,708.4,836.06,1171.16,1232.46,0.964,1.1356,1.5541,1.5289,5.23
