,statename,rank,countryd,val2015,val2016,val2017,val2018,val2019,val2020,share15,share16,share17,share18,share19,share20,change
101,California,11,United Kingdom,5150.06,5424.12,5030.38,5240.55,5262.81,4971.66,3.1144,3.3187,2.9244,2.9374,3.0242,3.1847,4.18
102,California,12,Singapore,3925.92,3889.33,4261.24,4435.31,4206.51,3890.38,2.3742,2.3797,2.4773,2.4861,2.4172,2.492,4.08
103,California,13,Australia,3436.01,3369.44,3527.57,3526.85,3869.3,3214.19,2.0779,2.0616,2.0508,1.9769,2.2234,2.0589,-0.02
104,California,14,France,2683.96,2985.23,3706.95,3327.14,2947.28,2298.71,1.6231,1.8265,2.155,1.8649,1.6936,1.4725,-10.25
105,California,15,Belgium,2940.9,2955.77,3184.24,2814.65,6340.52,4346.57,1.7785,1.8085,1.8512,1.5777,3.6434,2.7843,-11.61
106,California,16,Malaysia,1824.14,1830.66,2085.05,2179.28,2333.75,2100.8,1.1031,1.1201,1.2122,1.2215,1.341,1.3457,4.52
107,California,17,Switzerland,2008.05,2031.31,1988.19,2077.65,1790.29,1507.86,1.2143,1.2429,1.1558,1.1646,1.0287,0.9659,4.5
108,California,18,Israel,1790.5,2034.3,1968.04,1739.57,1639.82,1383.65,1.0828,1.2447,1.1441,0.9751,0.9423,0.8863,-11.61
109,California,19,Italy,2011.69,1993.89,1647.52,1643.16,1855.17,1619,1.2165,1.22,0.9578,0.921,1.066,1.0371,-0.26
110,California,20,Vietnam,1247.2,2570.97,1383.61,1608.43,1588.5,1429.06,0.7542,1.573,0.8044,0.9016,0.9128,0.9154,16.25
111,California,21,Thailand,1692.69,1492.31,1421.01,1526.72,1440.18,1372.8,1.0236,0.9131,0.8261,0.8558,0.8276,0.8794,7.44
112,California,22,United Arab Emirates,2425.22,1522.06,1515.99,1478.74,1828.83,1392.45,1.4666,0.9313,0.8813,0.8289,1.0509,0.892,-2.46
113,California,23,Spain,1675.29,1517.27,1403.99,1408.8,1527.93,1401.74,1.0131,0.9283,0.8162,0.7897,0.878,0.8979,0.34
114,California,25,Philippines,1377.75,1377.66,1283.22,1326.02,1440.53,1320.86,0.8332,0.8429,0.746,0.7433,0.8278,0.8461,3.34
115,Colorado,0,World,7949.65,7580.72,8054.12,8317.25,8097.28,8282.98,0.5288,0.5224,0.5209,0.4998,0.4928,0.5786,3.27
116,Colorado,0,Top 25,6967.4,6749.28,7231.69,7511.98,7158.72,7420.75,87.6441,89.0322,89.7887,90.318,88.409,89.5904,3.88
117,Colorado,1,Canada,1408.4,1356.73,1390.32,1434.85,1445.34,1277.94,17.7166,17.8972,17.2623,17.2515,17.8496,15.4285,3.2
118,Colorado,2,Mexico,1077.44,1069.51,1315.87,1252.82,1059.29,1048.68,13.5533,14.1082,16.3379,15.0629,13.0821,12.6607,-4.79
119,Colorado,3,China,658.76,589.46,585.83,577.55,524.28,524.24,8.2867,7.7758,7.2736,6.944,6.4747,6.3292,-1.41
120,Colorado,4,"Korea, South",332.78,400.02,388.98,493.62,541.8,524.65,4.1861,5.2768,4.8295,5.9349,6.6911,6.334,26.9
121,Colorado,5,Japan,466.53,444.11,445.03,452.87,399.2,400.71,5.8686,5.8584,5.5255,5.4449,4.93,4.8377,1.76
122,Colorado,6,Malaysia,356.02,366.65,417.28,391.94,468.19,609.12,4.4784,4.8366,5.181,4.7123,5.7821,7.3539,-6.07
123,Colorado,7,Netherlands,290.08,228.37,275.77,304.8,331.31,300.43,3.6489,3.0126,3.424,3.6647,4.0917,3.627,10.53
124,Colorado,8,Germany,261.65,326.31,313.71,301.25,280.28,306.68,3.2913,4.3045,3.895,3.622,3.4614,3.7025,-3.97
125,Colorado,9,Hong Kong,237.98,207.05,233.73,243.2,201.89,136.89,2.9936,2.7313,2.902,2.924,2.4934,1.6526,4.05
126,Colorado,10,Taiwan,205.85,205.39,208.33,222.74,232.28,221.37,2.5894,2.7094,2.5866,2.6781,2.8686,2.6726,6.92
127,Colorado,11,United Kingdom,261.42,219.85,220.18,220.53,242.84,203.06,3.2884,2.9002,2.7337,2.6514,2.9991,2.4515,0.16
128,Colorado,12,Philippines,162.26,142.56,212.45,194.46,151.54,101.73,2.0411,1.8805,2.6378,2.338,1.8714,1.2282,-8.47
129,Colorado,13,Switzerland,249.98,230.35,171.01,191.05,201.01,182.73,3.1445,3.0386,2.1232,2.2971,2.4824,2.2061,11.72
130,Colorado,14,France,133.29,139.4,127.56,182.06,169.98,106.43,1.6767,1.8389,1.5838,2.189,2.0992,1.2849,42.72
131,Colorado,15,Belgium,161.82,125.76,142.92,153.02,150.65,138.71,2.0355,1.6589,1.7745,1.8398,1.8605,1.6746,7.06
132,Colorado,16,Australia,155.2,142.84,168.59,146.37,122.86,152.31,1.9523,1.8842,2.0932,1.7599,1.5173,1.8388,-13.18
133,Colorado,17,Brazil,98.35,102.55,120.18,141.96,109.06,112.88,1.2372,1.3528,1.4922,1.7068,1.3469,1.3629,18.12
134,Colorado,18,Thailand,62.76,68.41,64.89,96.9,71.81,88.33,0.7894,0.9024,0.8056,1.1651,0.8868,1.0664,49.34
135,Colorado,19,Italy,83.21,70.35,84.53,95.46,89.3,83.53,1.0467,0.928,1.0496,1.1477,1.1029,1.0084,12.92
136,Colorado,20,Singapore,71.02,80.12,88.04,88.62,95.98,75.59,0.8934,1.0568,1.0931,1.0655,1.1854,0.9126,0.66
137,Colorado,21,India,92.58,82.06,83.39,85.78,84.28,92.55,1.1645,1.0825,1.0354,1.0313,1.0408,1.1173,2.86
138,Colorado,25,Vietnam,26.96,29.63,45.47,51.78,59.79,80.7,0.3392,0.3909,0.5646,0.6226,0.7384,0.9743,13.87
139,Connecticut,0,World,15241.76,14393.83,14783.75,17399.91,16242.52,13801.74,1.0139,0.992,0.9561,1.0456,0.9885,0.9641,17.7
140,Connecticut,0,Top 25,13701.18,12990.16,13349.26,15865.44,14837.66,12388.62,89.8924,90.2482,90.2969,91.1812,91.3507,89.7613,18.85
141,Connecticut,1,France,1942.95,1954.57,2114.07,3178.22,1859.64,894.35,12.7475,13.5792,14.2999,18.2657,11.4492,6.48,50.34
142,Connecticut,2,Germany,1654.17,1641.65,1824.69,2332.01,2541.52,2189.27,10.8529,11.4053,12.3425,13.4024,15.6473,15.8623,27.8
143,Connecticut,3,Canada,1623.05,1634.82,1906.95,1952.28,1951.77,1669.74,10.6487,11.3578,12.899,11.2201,12.0164,12.098,2.38
144,Connecticut,4,United Kingdom,885.38,893.2,1300.06,1485.64,1451.69,1154.24,5.8089,6.2055,8.7938,8.5382,8.9376,8.363,14.27
145,Connecticut,5,Mexico,1318.75,1061.14,1036.23,948.48,810.58,753.89,8.6522,7.3722,7.0093,5.4511,4.9905,5.4623,-8.47
146,Connecticut,6,China,1028.88,798.27,795.1,943.67,1262.13,1102.04,6.7504,5.5459,5.3782,5.4234,7.7705,7.9848,18.69
147,Connecticut,7,Netherlands,476.59,499.06,619.4,771.23,775.24,845.65,3.1269,3.4672,4.1897,4.4324,4.7729,6.1271,24.51
148,Connecticut,8,Japan,526.58,525.41,546.68,629.05,402.09,398.14,3.4549,3.6502,3.6979,3.6152,2.4755,2.8847,15.07
149,Connecticut,9,Singapore,278.49,333.72,399.48,623.28,552.45,425.72,1.8272,2.3185,2.7021,3.5821,3.4013,3.0846,56.02
150,Connecticut,10,"Korea, South",457.53,364.66,539.06,422.93,475.29,417.86,3.0018,2.5335,3.6463,2.4307,2.9262,3.0276,-21.54
151,Connecticut,11,Belgium,259.92,241.81,171.64,242.65,174.96,144.68,1.7053,1.68,1.161,1.3946,1.0772,1.0483,41.37
152,Connecticut,12,Taiwan,115.12,137.95,180.78,229.62,193.98,215.77,0.7553,0.9584,1.2228,1.3197,1.1943,1.5633,27.02
153,Connecticut,13,Israel,118.73,148.64,128.63,206.62,225.56,175.24,0.779,1.0327,0.8701,1.1875,1.3887,1.2697,60.63
154,Connecticut,14,Poland,76.72,61.75,137.52,206.41,228.48,233,0.5034,0.429,0.9302,1.1863,1.4067,1.6882,50.09
155,Connecticut,15,Brazil,244.62,213.89,181.74,205.03,280.43,213.04,1.6049,1.486,1.2293,1.1783,1.7265,1.5436,12.81
156,Connecticut,16,United Arab Emirates,1592.08,1241.81,174.44,190.22,225.14,155.39,10.4455,8.6274,1.18,1.0932,1.3861,1.1258,9.04
157,Connecticut,17,Hong Kong,188.87,231.25,209.74,179.47,199.95,185.42,1.2392,1.6066,1.4187,1.0314,1.231,1.3434,-14.43
158,Connecticut,18,Italy,111.24,111.5,142.34,173.11,203.15,163.26,0.7298,0.7746,0.9628,0.9949,1.2507,1.1829,21.62
159,Connecticut,19,Malaysia,113.14,116.57,134.75,157.09,172.59,148.57,0.7423,0.8099,0.9115,0.9028,1.0626,1.0765,16.57
160,Connecticut,20,Switzerland,161.19,204.22,144.79,152.58,135.09,118.85,1.0576,1.4188,0.9794,0.8769,0.8317,0.8611,5.38
161,Connecticut,21,Turkey,103.93,103.86,130.11,144.2,185.77,219.77,0.6819,0.7216,0.8801,0.8288,1.1437,1.5923,10.83
162,Connecticut,22,India,93.63,100.39,130.18,138.28,179.46,121.02,0.6143,0.6975,0.8806,0.7947,1.1049,0.8768,6.22
163,Connecticut,23,Dominican Republic,138.27,124.09,120.12,130.75,141.65,166.21,0.9072,0.8621,0.8125,0.7515,0.8721,1.2043,8.85
164,Connecticut,24,Australia,104.43,114.21,188.52,112.77,110.89,97.24,0.6851,0.7934,1.2752,0.6481,0.6827,0.7045,-40.18
165,Delaware,0,World,5407.66,4517.47,4565.61,4703.21,4407.15,3918.54,0.3597,0.3113,0.2953,0.2826,0.2682,0.2737,3.01
166,Delaware,0,Top 25,4801.58,3909.89,4005.86,4222.41,3833.81,3484.5,88.7923,86.5502,87.7398,89.7771,86.9907,88.9234,5.41
167,Delaware,1,Canada,579.48,545.48,603.78,715.96,578.68,618.93,10.7158,12.0749,13.2246,15.2229,13.1304,15.7949,18.58
168,Delaware,2,United Kingdom,882,549.31,323.5,404.47,541.66,87.9,16.3102,12.1596,7.0855,8.5999,12.2904,2.2431,25.03
169,Delaware,3,China,387.46,340.82,353.36,380.77,463.64,509.02,7.1651,7.5445,7.7396,8.096,10.5202,12.9899,7.76
170,Delaware,4,Belgium,131.76,140.12,199.95,367.35,171.17,125.88,2.4366,3.1018,4.3795,7.8106,3.8838,3.2124,83.72
171,Delaware,5,Saudi Arabia,704.67,373.96,499.05,286.11,153.09,116.81,13.031,8.2781,10.9307,6.0834,3.4737,2.9809,-42.67
172,Delaware,6,Germany,262.87,310.96,231.49,239.03,224.41,216.82,4.8611,6.8835,5.0702,5.0823,5.0919,5.5331,3.26
173,Delaware,7,United Arab Emirates,387.23,381.61,252.14,212.13,82.23,79.56,7.1607,8.4474,5.5226,4.5102,1.8659,2.0304,-15.87
174,Delaware,8,"Korea, South",61.26,59.24,116.53,195.86,243.66,401.19,1.1328,1.3113,2.5523,4.1644,5.5287,10.2382,68.08
175,Delaware,9,Kuwait,160.43,155.69,158.63,187.74,66.95,31.44,2.9667,3.4465,3.4745,3.9918,1.5191,0.8023,18.35
176,Delaware,10,Japan,190.64,163.67,178.22,176.02,192.62,183.29,3.5253,3.623,3.9036,3.7425,4.3705,4.6775,-1.24
177,Delaware,11,Mexico,153.15,143.04,327.19,156.1,163.8,152.55,2.8321,3.1664,7.1663,3.3191,3.7167,3.8931,-52.29
178,Delaware,12,Singapore,112.05,112.49,135.37,124.4,130.09,128.86,2.0721,2.4901,2.9649,2.645,2.9519,3.2885,-8.1
179,Delaware,13,Netherlands,229.94,62.67,88.44,122.39,74.82,52.26,4.2521,1.3872,1.9371,2.6023,1.6978,1.3338,38.39
180,Delaware,14,Taiwan,95.59,97.61,118.31,116.45,114.92,148.11,1.7676,2.1607,2.5913,2.4759,2.6076,3.7798,-1.57
181,Delaware,15,Hong Kong,152.75,77.83,86.99,80.81,53.02,34.11,2.8247,1.723,1.9052,1.7181,1.2031,0.8705,-7.1
182,Delaware,16,Costa Rica,62.67,55.15,60.27,61.08,55.06,64.07,1.1589,1.2208,1.3201,1.2987,1.2494,1.635,1.34
183,Delaware,18,Brazil,83.25,63.56,89.73,55.6,90.08,56.48,1.5395,1.4071,1.9653,1.1822,2.0439,1.4413,-38.03
184,Delaware,21,Colombia,34.9,30.57,32.79,46.09,33,31.19,0.6453,0.6767,0.7181,0.98,0.7487,0.7959,40.58
185,Delaware,22,India,38.56,39.81,36.69,41.23,48.78,47.14,0.7131,0.8813,0.8037,0.8767,1.1069,1.203,12.37
186,Delaware,23,Uruguay,3.55,1.9,3.18,33.4,24.29,31.58,0.0656,0.042,0.0696,0.7101,0.5511,0.8059,951.39
187,Delaware,25,Guatemala,33.02,21.1,31.56,27.46,23.61,38.13,0.6107,0.4671,0.6913,0.5839,0.5358,0.973,-12.98
188,District of Columbia,0,World,1088.01,1330.67,1483.08,2726.32,3690,2775.68,0.0724,0.0917,0.0959,0.1638,0.2246,0.1939,83.83
