,statename,rank,countryd,val2015,val2016,val2017,val2018,val2019,val2020,share15,share16,share17,share18,share19,share20,change
143,Connecticut,1,Canada,3454.27,2901.88,2874.11,3586.53,4279.36,4030.74,13.297,13.5969,15.3912,18.0459,21.319,22.4265,24.79
144,Connecticut,2,Mexico,2479.57,2493.21,2507.62,2503.16,2952.71,2951.51,9.5449,11.682,13.4286,12.5949,14.7099,16.4218,-0.18
145,Connecticut,3,China,3031.16,2306.65,2235.75,2301.35,1976.36,1608.87,11.6682,10.8079,11.9727,11.5795,9.8459,8.9516,2.93
146,Connecticut,4,Germany,1936.53,1446.39,1342.3,1466.1,1326.96,1149.7,7.4545,6.7771,7.1881,7.3768,6.6107,6.3968,9.22
147,Connecticut,5,United Kingdom,5550.92,2548.7,1083.84,1176.16,1215.75,1499,21.3679,11.942,5.8041,5.9179,6.0566,8.3402,8.52
148,Connecticut,6,France,661.38,641.71,709.55,727.14,838.11,579.34,2.5459,3.0068,3.7997,3.6587,4.1753,3.2234,2.48
149,Connecticut,8,Italy,538.27,565.9,526.2,619.18,489.75,381.96,2.072,2.6515,2.8179,3.1154,2.4399,2.1251,17.67
150,Connecticut,9,Netherlands,482.73,458.73,441.11,601.85,792.19,712.08,1.8582,2.1494,2.3622,3.0283,3.9466,3.9619,36.44
151,Connecticut,10,Singapore,541.86,489.62,414.27,501.28,628.92,356.29,2.0858,2.2941,2.2185,2.5222,3.1332,1.9824,21
152,Connecticut,11,Switzerland,436.64,399.53,358.18,451.63,433,329.5,1.6808,1.872,1.9181,2.2724,2.1571,1.8333,26.09
153,Connecticut,12,Japan,945.39,846.13,410.05,422.87,289.18,213.59,3.6392,3.9646,2.1958,2.1277,1.4406,1.1884,3.13
154,Connecticut,14,Poland,585.41,541.2,239.37,257.28,192.03,193.08,2.2535,2.5358,1.2818,1.2945,0.9567,1.0743,7.48
155,Connecticut,15,Belgium,251.42,212.66,124.35,255.73,116.37,128.93,0.9678,0.9964,0.6659,1.2867,0.5797,0.7173,105.65
156,Connecticut,16,Brazil,246.59,286.55,282.2,254.92,326.62,291.98,0.9492,1.3427,1.5112,1.2827,1.6271,1.6246,-9.66
157,Connecticut,17,Chile,369.22,56.47,132.62,244.22,387.54,206.92,1.4213,0.2646,0.7102,1.2288,1.9306,1.1513,84.16
158,Connecticut,18,Sweden,183.14,153.78,150.67,231.22,312.96,167.44,0.705,0.7206,0.8068,1.1634,1.5591,0.9316,53.46
159,Connecticut,19,India,269.8,245.57,279.42,217.65,298.33,228.42,1.0386,1.1506,1.4963,1.0951,1.4862,1.2709,-22.11
160,Connecticut,20,Taiwan,319.83,233.23,227.48,212.26,204.74,189.39,1.2312,1.0928,1.2182,1.068,1.02,1.0537,-6.69
161,Connecticut,21,"Korea, South",250.78,213.19,183.81,205.69,170.77,169.83,0.9654,0.9989,0.9843,1.035,0.8507,0.9449,11.91
162,Connecticut,22,Vietnam,174.53,191.8,223.75,184.72,270.46,412.44,0.6718,0.8987,1.1982,0.9294,1.3474,2.2948,-17.45
163,Connecticut,24,Spain,155.05,150.19,228.67,159.17,143.93,117.17,0.5969,0.7037,1.2245,0.8009,0.717,0.6519,-30.39
164,Connecticut,25,Israel,258.83,246.72,140.83,150.41,151.82,115.37,0.9964,1.156,0.7541,0.7568,0.7563,0.6419,6.8
165,Delaware,0,World,9246.1,7555.15,7669.38,8890.05,9513.79,9111.92,0.4112,0.3454,0.3275,0.3496,0.3809,0.39,15.92
166,Delaware,0,Top 25,6937.08,6133.05,6528.78,7902.92,8102.27,8228.71,75.0271,81.1771,85.1278,88.8963,85.1635,90.3071,21.05
167,Delaware,1,Canada,780.07,436.06,867.74,1338.74,1940.97,893.91,8.4368,5.7718,11.3144,15.0588,20.4017,9.8103,54.28
168,Delaware,2,United Kingdom,979.6,1326.65,758.33,808.93,596.31,357.84,10.5948,17.5596,9.8877,9.0993,6.2678,3.9272,6.67
169,Delaware,3,France,1106.14,788.9,806.1,589.69,451.07,482.01,11.9633,10.4419,10.5106,6.6331,4.7412,5.2899,-26.85
170,Delaware,5,Switzerland,164.9,129.89,283.08,536.24,945.61,1927.13,1.7834,1.7192,3.6911,6.0319,9.9394,21.1496,89.43
171,Delaware,6,Colombia,970.94,796.94,516.71,472.48,167.35,131.62,10.5011,10.5483,6.7373,5.3147,1.759,1.4444,-8.56
172,Delaware,7,China,382.4,381.67,410.05,452.12,427.74,443.16,4.1358,5.0518,5.3466,5.0857,4.496,4.8635,10.26
173,Delaware,8,Russia,188.29,163.9,122.87,379.69,854.08,410.05,2.0364,2.1694,1.602,4.2709,8.9773,4.5001,209.03
174,Delaware,9,Mexico,554.69,263.89,182.66,316.78,332.08,610.97,5.9991,3.4928,2.3817,3.5633,3.4905,6.7052,73.42
175,Delaware,10,Kazakhstan,0.39,0,35.25,294.25,334.38,153.3,0.0042,0,0.4597,3.3099,3.5147,1.6825,734.69
176,Delaware,12,Germany,341.03,242.44,412.09,217.02,271.83,268.39,3.6884,3.2089,5.3732,2.4411,2.8572,2.9455,-47.34
177,Delaware,13,Costa Rica,235.21,277.76,234.47,214.72,222.55,215.98,2.5439,3.6765,3.0572,2.4153,2.3392,2.3704,-8.42
178,Delaware,14,Netherlands,146.88,148.29,156.73,172.69,156.96,113.76,1.5886,1.9628,2.0435,1.9426,1.6498,1.2484,10.19
179,Delaware,16,Chile,180.07,193.74,139.87,171.67,166.57,142.48,1.9476,2.5644,1.8237,1.931,1.7508,1.5637,22.73
180,Delaware,17,Sweden,242.92,179.69,146.03,146.95,179.5,549.37,2.6273,2.3784,1.9041,1.653,1.8867,6.0291,0.63
181,Delaware,18,Saudi Arabia,19.43,8.93,39.42,143.57,1.19,65.95,0.2101,0.1182,0.514,1.615,0.0125,0.7237,264.21
182,Delaware,20,Spain,96.1,124.5,184.42,110.37,143.38,103.37,1.0393,1.6479,2.4047,1.2415,1.5071,1.1344,-40.15
183,Delaware,21,Japan,100.35,98.27,86.5,98.03,91.77,86.19,1.0853,1.3007,1.1278,1.1027,0.9646,0.9459,13.34
184,Delaware,23,Italy,82.18,111.99,78.81,84.67,118.45,95.81,0.8888,1.4823,1.0276,0.9525,1.245,1.0515,7.44
185,Delaware,24,Taiwan,84.82,93.09,75.28,70.77,63.99,88.32,0.9174,1.2321,0.9816,0.796,0.6726,0.9693,-6
186,Delaware,25,India,43.48,37.04,69.37,69.31,121.85,98.87,0.4703,0.4903,0.9045,0.7796,1.2808,1.0851,-0.09
187,District of Columbia,0,World,913.06,486.78,480.52,762.24,679.2,540.29,0.0406,0.0223,0.0205,0.03,0.0272,0.0231,58.63
188,District of Columbia,0,Top 25,801.26,444.8,419.37,717.51,406.01,480.38,87.7548,91.3765,87.2748,94.1314,59.7773,88.9104,71.09
189,District of Columbia,1,China,27.32,28.1,44.71,221.48,39.32,45.51,2.9926,5.7725,9.3043,29.056,5.7898,8.4235,395.38
190,District of Columbia,2,Canada,54.97,68.2,92.68,85.36,67.09,74.23,6.0203,14.0109,19.2876,11.1984,9.8781,13.7395,-7.9
191,District of Columbia,3,Germany,59.37,35.43,39.56,72.45,104.8,61.52,6.5028,7.2781,8.2335,9.5054,15.4299,11.3868,83.14
192,District of Columbia,4,United Kingdom,125.32,27.97,25.01,67.95,31.65,28.59,13.7251,5.7464,5.204,8.9144,4.6602,5.2923,171.73
193,District of Columbia,5,France,47.2,35.57,29.05,47.15,26.81,50.36,5.1694,7.3073,6.0453,6.1854,3.9467,9.3213,62.31
194,District of Columbia,6,Japan,163.62,32.81,40.28,31.66,48.73,24.89,17.92,6.7397,8.3825,4.1537,7.1749,4.6074,-21.4
195,District of Columbia,9,Italy,33.27,21.23,20.86,15.66,15.25,16.15,3.6433,4.3607,4.3415,2.0539,2.2449,2.9895,-24.96
196,District of Columbia,10,"Korea, South",14.99,12.35,2.89,14.28,4.23,14.54,1.6422,2.5366,0.6012,1.8738,0.6221,2.691,394.43
197,District of Columbia,11,Australia,13.91,14.9,10.77,12.33,10.96,10.95,1.5234,3.0601,2.2419,1.617,1.6136,2.0259,14.42
198,District of Columbia,12,Netherlands,25.9,15.74,2.46,11.67,19.02,5.94,2.8365,3.2332,0.5123,1.5304,2.8007,1.0992,373.85
199,District of Columbia,14,Taiwan,1.86,1.46,5.31,10.66,10.35,5.54,0.2042,0.3006,1.1054,1.398,1.5243,1.0248,100.62
200,District of Columbia,15,Denmark,2.51,3.69,10.29,10.07,6.9,12.36,0.2748,0.7582,2.1419,1.3212,1.0155,2.288,-2.15
201,District of Columbia,16,Switzerland,5.34,17.49,7.41,7.58,2.48,6.97,0.5846,3.5931,1.5418,0.9944,0.365,1.29,2.31
202,District of Columbia,21,Vietnam,3.16,3.1,1.58,4.11,2.39,50.44,0.346,0.6368,0.3294,0.5389,0.3526,9.3357,159.55
203,District of Columbia,22,Mexico,7.05,9.1,22.8,3.98,4.38,7.32,0.7721,1.8694,4.7443,0.5221,0.6444,1.355,-82.54
204,Florida,0,World,73483.48,73624.15,75360.19,80612.9,81718.45,76459.74,3.2677,3.3655,3.2178,3.1703,3.272,3.2723,6.97
205,Florida,0,Top 25,59779.78,61240.17,63077.29,67301.23,68029.87,64204.61,81.3513,83.1795,83.7011,83.4869,83.2491,83.9718,6.7
206,Florida,1,China,11855.32,11906.23,12594.42,14152.87,12196.74,11212.08,16.1333,16.1716,16.7123,17.5566,14.9253,14.664,12.37
207,Florida,2,Mexico,5563.99,5780.63,6683.71,7538.67,6924.96,6174.65,7.5718,7.8515,8.869,9.3517,8.4742,8.0757,12.79
208,Florida,3,Canada,4238,4292.6,4394.87,4834.64,4708.35,4318.83,5.7673,5.8304,5.8318,5.9974,5.7617,5.6485,10.01
209,Florida,4,Germany,3991.68,4254.25,3627.23,4314.07,4021.88,3583.74,5.4321,5.7783,4.8132,5.3516,4.9216,4.6871,18.94
210,Florida,5,Brazil,3055.92,3274.66,3469.88,4213.02,4000.43,3181.92,4.1586,4.4478,4.6044,5.2262,4.8954,4.1616,21.42
211,Florida,6,France,3519.39,3268.59,3517.84,3120.16,3895.57,2773.05,4.7894,4.4396,4.668,3.8706,4.7671,3.6268,-11.3
212,Florida,7,Chile,2097.39,1997.12,2619.8,2823.62,2699.16,2594.23,2.8542,2.7126,3.4764,3.5027,3.303,3.3929,7.78
213,Florida,8,Colombia,2311.94,2601.92,2368.36,2301.74,2638.98,2938.68,3.1462,3.5341,3.1427,2.8553,3.2294,3.8434,-2.81
214,Florida,9,Japan,3276.29,3553.43,2791.17,2211.42,2278.69,1914.35,4.4585,4.8265,3.7038,2.7433,2.7885,2.5037,-20.77
215,Florida,10,Vietnam,2530.01,2502.72,2775.56,2151.72,2872.05,3290.16,3.443,3.3993,3.6831,2.6692,3.5146,4.3031,-22.48
216,Florida,11,Italy,1925.77,1952.66,1890.72,2133.62,2355.02,2107.11,2.6207,2.6522,2.5089,2.6467,2.8819,2.7558,12.85
217,Florida,12,United Kingdom,2096.67,1911.82,1997.42,2088.85,2769.86,2294.04,2.8533,2.5967,2.6505,2.5912,3.3895,3.0003,4.58
218,Florida,13,India,1144.1,1401.17,1182.91,1710.94,2181.51,1814.69,1.5569,1.9031,1.5697,2.1224,2.6695,2.3734,44.64
219,Florida,14,Spain,999.15,914.88,1122.08,1409.07,1481.81,1209.95,1.3597,1.2426,1.489,1.7479,1.8133,1.5825,25.58
220,Florida,15,Malaysia,355.22,583.86,1080.65,1311.56,1353.69,1138.02,0.4834,0.793,1.434,1.627,1.6565,1.4884,21.37
221,Florida,16,Taiwan,1026.73,975.21,1045.62,1276.5,1358.8,1308.18,1.3972,1.3246,1.3875,1.5835,1.6628,1.7109,22.08
222,Florida,17,Dominican Republic,1149.67,1157.79,1243.46,1260.02,1367.64,1412.18,1.5645,1.5726,1.65,1.563,1.6736,1.847,1.33
223,Florida,18,Guatemala,708.4,836.06,1171.16,1232.46,1147.04,1177.68,0.964,1.1356,1.5541,1.5289,1.4037,1.5403,5.23
224,Florida,19,Switzerland,1251.26,1173.19,1106.46,1162.98,1145.99,1020.95,1.7028,1.5935,1.4682,1.4427,1.4024,1.3353,5.11
225,Florida,20,Honduras,966.94,1084.54,1045.9,1128.58,1157.07,965.27,1.3159,1.4731,1.3879,1.4,1.4159,1.2625,7.9
226,Florida,21,"Korea, South",1909.14,1875.49,1545.93,1107.94,1409.23,1193.13,2.5981,2.5474,2.0514,1.3744,1.7245,1.5605,-28.33
227,Florida,23,Costa Rica,697.47,800.08,999.75,957.11,920.38,875.39,0.9492,1.0867,1.3266,1.1873,1.1263,1.1449,-4.26
228,Florida,24,Thailand,757.65,701.16,853.57,934.41,1034.07,956,1.0311,0.9523,1.1327,1.1591,1.2654,1.2503,9.47
229,Florida,25,Ecuador,1223.76,909.59,861.4,852.8,889.11,1031.25,1.6653,1.2354,1.143,1.0579,1.088,1.3488,-1
230,Georgia,0,World,88697.4,86209.97,91390.54,98781.81,102076.68,98938.86,3.9442,3.9408,3.9023,3.8848,4.0871,4.2343,8.09
231,Georgia,0,Top 25,80325.94,77722.34,82579.56,89251.96,91666.43,89913.98,90.5618,90.1547,90.359,90.3526,89.8015,90.8783,8.08
232,Georgia,1,China,19792.2,18504.32,22217.91,23686.57,19774.45,20194.34,22.3143,21.4642,24.311,23.9787,19.3721,20.4109,6.61
233,Georgia,2,Germany,16391.83,13772.35,12402.9,9827.67,9499.69,7359.08,18.4806,15.9754,13.5713,9.9489,9.3064,7.438,-20.76
234,Georgia,3,Mexico,6281.09,6469.97,6857.78,6945.99,7781.77,9145.86,7.0815,7.5049,7.5038,7.0316,7.6235,9.2439,1.29
235,Georgia,4,Japan,4635.85,5074.11,4949.76,6107.39,6610.98,5889.28,5.2266,5.8858,5.4161,6.1827,6.4765,5.9524,23.39
236,Georgia,5,"Korea, South",7347.8,6297.96,6259.64,5962.93,7276.17,7154.38,8.2841,7.3054,6.8493,6.0365,7.1281,7.2311,-4.74
237,Georgia,6,United Kingdom,3558.4,3713.06,3963.11,5098.35,5495.22,3460.18,4.0118,4.307,4.3365,5.1612,5.3834,3.4973,28.65
238,Georgia,7,Canada,4212.19,4006.16,4235.32,4576.1,5209.72,4328.85,4.7489,4.647,4.6343,4.6325,5.1037,4.3753,8.05
239,Georgia,8,Singapore,653.28,563.63,571.86,3556.08,4142.65,4406.06,0.7365,0.6538,0.6257,3.5999,4.0584,4.4533,521.85
240,Georgia,9,India,2103.18,2119.49,2128.13,2344.5,2405.58,2269.62,2.3712,2.4585,2.3286,2.3734,2.3566,2.294,10.17
241,Georgia,10,Italy,1572.05,1715.79,1832.56,2289.13,2090.91,1716.79,1.7724,1.9902,2.0052,2.3174,2.0484,1.7352,24.91
242,Georgia,11,Taiwan,1446.4,1617.86,1779.8,2257.64,2570.04,2774.67,1.6307,1.8767,1.9475,2.2855,2.5178,2.8044,26.85
243,Georgia,12,France,1859.44,2033.4,2439.21,2249.74,2683.51,1878.53,2.0964,2.3587,2.669,2.2775,2.6289,1.8987,-7.77
244,Georgia,13,Thailand,1369.47,1593.88,1877.29,2001.59,2273.29,2921.57,1.544,1.8488,2.0541,2.0263,2.227,2.9529,6.62
245,Georgia,14,Vietnam,1352.53,1211.62,1498.88,1511.21,2182.9,3296.42,1.5249,1.4054,1.6401,1.5298,2.1385,3.3318,0.82
246,Georgia,15,Malaysia,832.87,1269.87,1221.36,1477.43,1496.76,1686.53,0.939,1.473,1.3364,1.4957,1.4663,1.7046,20.97
247,Georgia,16,Chile,924.33,1227.48,1392.67,1472.09,1357.38,1334.18,1.0421,1.4238,1.5239,1.4902,1.3298,1.3485,5.7
248,Georgia,17,Indonesia,1037.09,1007.62,1396.62,1347.84,1277.74,1404.15,1.1692,1.1688,1.5282,1.3645,1.2517,1.4192,-3.49
249,Georgia,18,Ireland,775.56,1067.8,1044.87,1059.77,1217.92,1581.21,0.8744,1.2386,1.1433,1.0728,1.1931,1.5982,1.43
250,Georgia,19,Austria,718.46,875.56,800.76,1035.25,1110.36,1186.27,0.81,1.0156,0.8762,1.048,1.0878,1.199,29.28
251,Georgia,20,Netherlands,816.27,780.24,835.83,999.43,1138.44,927.06,0.9203,0.905,0.9146,1.0118,1.1153,0.937,19.57
252,Georgia,21,Brazil,698.25,632.21,745.16,807.14,1599.68,1064.85,0.7872,0.7333,0.8154,0.8171,1.5671,1.0763,8.32
253,Georgia,22,Sweden,426.27,517.78,595.37,698.44,667.67,816.48,0.4806,0.6006,0.6515,0.7071,0.6541,0.8252,17.31
254,Georgia,24,Belgium,848.28,1045.91,567.14,650.2,677.31,1648.56,0.9564,1.2132,0.6206,0.6582,0.6635,1.6662,14.65
255,Hawaii,0,World,3755.81,2930.45,3809.78,4526,3783.44,1934.12,0.167,0.134,0.1627,0.178,0.1515,0.0828,18.8
256,Hawaii,0,Top 25,3461.31,2749.04,3508.63,4337.95,3565.46,1831.58,92.159,93.8094,92.0952,95.8451,94.2386,94.6984,23.64
257,Hawaii,1,Indonesia,816.42,696.8,814.41,1115.01,35.14,39.77,21.7375,23.778,21.3769,24.6357,0.9288,2.0564,36.91
258,Hawaii,2,Libya,16.67,143.88,284.25,451.71,859.46,65.62,0.4437,4.9097,7.4611,9.9804,22.7165,3.3928,58.91
259,Hawaii,3,Japan,310.92,376.89,480.03,450.44,579.27,291.27,8.2783,12.8613,12.6,9.9524,15.3107,15.0596,-6.16
260,Hawaii,4,Russia,477.03,282.39,275.25,387.74,580.03,188.39,12.7012,9.6364,7.2248,8.567,15.3309,9.7404,40.87
261,Hawaii,5,China,278.74,242.57,388.79,386.03,196.87,142.91,7.4216,8.2774,10.2049,8.5292,5.2035,7.3889,-0.71
262,Hawaii,6,Germany,31.88,25.17,29.04,313.16,42.86,20.26,0.8489,0.8588,0.7622,6.9192,1.1327,1.0474,978.47
263,Hawaii,7,France,387.52,22.53,183.87,174.06,183,12.77,10.3179,0.7689,4.8262,3.8457,4.8369,0.6604,-5.34
264,Hawaii,8,"Korea, South",213.79,158.73,68.77,157.81,545.06,224.32,5.6922,5.4166,1.8052,3.4867,14.4065,11.5983,129.46
265,Hawaii,10,Canada,265.38,229.55,132.69,128.63,101.99,123.08,7.0659,7.8332,3.4829,2.8421,2.6956,6.3636,-3.06
266,Hawaii,11,Vietnam,192.87,83.68,163.24,96.09,41.45,74.59,5.1353,2.8557,4.2847,2.1231,1.0956,3.8564,-41.13
267,Hawaii,12,Taiwan,50.88,50.87,52.72,82.14,67.56,59.4,1.3548,1.7361,1.3839,1.8149,1.7856,3.071,55.8
268,Hawaii,13,Thailand,37.84,39,92.73,56.13,37.71,34.3,1.0076,1.331,2.434,1.2401,0.9966,1.7736,-39.47
269,Hawaii,15,Italy,38.13,49.4,40.8,52.4,50.58,24.94,1.0151,1.6856,1.0708,1.1578,1.337,1.2894,28.45
270,Hawaii,16,Malaysia,19.39,78.81,31.72,40.39,27.98,62.67,0.5163,2.6894,0.8327,0.8925,0.7395,3.2404,27.33
271,Hawaii,21,New Zealand,26.78,25.27,24.18,29.15,27.7,18.9,0.7129,0.8623,0.6346,0.6441,0.7322,0.9772,20.59
272,Hawaii,23,United Kingdom,31.75,15.08,15.06,22.15,20.2,39.03,0.8455,0.5145,0.3953,0.4894,0.5339,2.0181,47.05
273,Hawaii,25,Philippines,28.02,27.64,22.99,21.61,21.89,14.26,0.746,0.9431,0.6035,0.4775,0.5784,0.7374,-6.01
274,Idaho,0,World,5165.63,4493.55,5644.41,6880.54,5125.54,5498.48,0.2297,0.2054,0.241,0.2706,0.2052,0.2353,21.9
275,Idaho,0,Top 25,5006.43,4233.42,5510.37,6762.94,4956.05,5350.57,96.9179,94.211,97.6252,98.2909,96.6932,97.3099,22.73
276,Idaho,1,China,1582.95,1420.48,2425.66,2884.46,641.73,531.46,30.6439,31.6115,42.9746,41.922,12.5201,9.6656,18.91
277,Idaho,2,Canada,912.23,998.24,1060.02,1125.15,1074.03,1195.17,17.6595,22.2149,18.78,16.3527,20.9545,21.7363,6.14
278,Idaho,3,Singapore,503.95,407.69,578.1,742.08,564.71,694.76,9.7557,9.0727,10.242,10.7852,11.0177,12.6355,28.36
279,Idaho,4,Taiwan,841.81,381.51,432.83,462.41,1076.83,1153.71,16.2964,8.4902,7.6682,6.7206,21.009,20.9824,6.84
